Chamber 11 (  6.1) strip 7 offset  43.0 time bins, direction -1
Chamber 11 (  6.1) strip 8 offset   5.0 time bins, direction -1
Chamber 11 (  6.1) strip 9 offset  -3.0 time bins, direction -1
Chamber 11 (  6.1) strip 10 offset  -5.0 time bins, direction -1
Chamber 11 (  6.1) strip 11 offset  -3.0 time bins, direction -1
Chamber 11 (  6.1) strip 12 offset   3.0 time bins, direction -1
Chamber 11 (  6.1) strip 13 offset  -7.0 time bins, direction -1
Chamber 11 (  6.1) strip 14 offset -21.0 time bins, direction -1
Chamber 11 (  6.1) strip 15 offset -13.0 time bins, direction -1
Chamber 11 (  6.1) strip 16 offset  -3.0 time bins, direction -1
Chamber 11 (  6.1) strip 17 offset  19.0 time bins, direction -1
Chamber 11 (  6.1) strip 18 offset  21.0 time bins, direction -1
Chamber 11 (  6.1) strip 19 offset  31.0 time bins, direction -1
Chamber 11 (  6.1) strip 20 offset  21.0 time bins, direction -1
Chamber 11 (  6.1) strip 21 offset  23.0 time bins, direction -1
Chamber 11 (  6.1) strip 22 offset  33.0 time bins, direction -1
Chamber 11 (  6.1) strip 23 offset  31.0 time bins, direction -1
Chamber 11 (  6.1) strip 24 offset -23.0 time bins, direction -1
Chamber 11 (  6.1) strip 25 offset  -9.0 time bins, direction -1
Chamber 11 (  6.1) strip 26 offset  -5.0 time bins, direction -1
Chamber 11 (  6.1) strip 27 offset  -7.0 time bins, direction -1
Chamber 11 (  6.1) strip 28 offset  -9.0 time bins, direction -1
Chamber 11 (  6.1) strip 29 offset   3.0 time bins, direction -1
Chamber 11 (  6.1) strip 30 offset   1.0 time bins, direction -1
Chamber 11 (  6.1) strip 31 offset -17.0 time bins, direction -1
Chamber 12 (  2.1) strip 1 offset  -3.0 time bins, direction -1
Chamber 12 (  2.1) strip 2 offset   9.0 time bins, direction -1
Chamber 12 (  2.1) strip 3 offset  -7.0 time bins, direction -1
Chamber 12 (  2.1) strip 4 offset  -3.0 time bins, direction -1
Chamber 12 (  2.1) strip 5 offset  21.0 time bins, direction -1
Chamber 12 (  2.1) strip 6 offset  23.0 time bins, direction -1
Chamber 12 (  2.1) strip 7 offset   9.0 time bins, direction -1
Chamber 12 (  2.1) strip 8 offset   3.0 time bins, direction -1
Chamber 12 (  2.1) strip 9 offset -19.0 time bins, direction -1
Chamber 12 (  2.1) strip 10 offset  -7.0 time bins, direction -1
Chamber 12 (  2.1) strip 11 offset -17.0 time bins, direction -1
Chamber 12 (  2.1) strip 12 offset -19.0 time bins, direction -1
Chamber 12 (  2.1) strip 13 offset -19.0 time bins, direction -1
Chamber 12 (  2.1) strip 14 offset -25.0 time bins, direction -1
Chamber 12 (  2.1) strip 15 offset   5.0 time bins, direction -1
Chamber 12 (  2.1) strip 16 offset -11.0 time bins, direction -1
Chamber 12 (  2.1) strip 17 offset  -7.0 time bins, direction -1
Chamber 12 (  2.1) strip 18 offset   9.0 time bins, direction -1
Chamber 12 (  2.1) strip 19 offset  27.0 time bins, direction -1
Chamber 12 (  2.1) strip 20 offset   3.0 time bins, direction -1
Chamber 12 (  2.1) strip 21 offset   7.0 time bins, direction -1
Chamber 12 (  2.1) strip 22 offset  15.0 time bins, direction -1
Chamber 12 (  2.1) strip 23 offset  21.0 time bins, direction -1
Chamber 12 (  2.1) strip 24 offset -11.0 time bins, direction -1
Chamber 12 (  2.1) strip 25 offset -15.0 time bins, direction -1
Chamber 12 (  2.1) strip 26 offset -13.0 time bins, direction -1
Chamber 12 (  2.1) strip 27 offset  -3.0 time bins, direction -1
Chamber 12 (  2.1) strip 28 offset  -3.0 time bins, direction -1
Chamber 12 (  2.1) strip 29 offset -23.0 time bins, direction -1
Chamber 12 (  2.1) strip 30 offset  -9.0 time bins, direction -1
