Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
12 3 8.776326
12 4 8.776944
12 5 8.777759
12 6 8.778773
12 7 8.779984
12 8 8.781393
12 9 8.783
12 10 8.784804
12 11 8.786806
12 12 8.789006
12 13 8.791402
12 14 8.793996
12 15 8.796786
12 16 8.799773
12 17 8.802957
12 18 8.806337
12 19 8.809913
12 20 8.813684
12 21 8.817652
12 22 8.821814
12 23 8.826172
12 24 8.830724
12 25 8.835471
12 26 8.840412
12 27 8.845546
12 28 8.850874
12 29 8.856395
12 30 8.862109
12 31 8.868016
12 32 8.874114
12 33 8.880404
12 34 8.886885
12 35 8.893556
12 36 8.900418
12 37 8.90747
12 38 8.914712
12 39 8.922142
12 40 8.929761
12 41 8.937568
12 42 8.945562
12 43 8.953744
12 44 8.962112
12 45 8.970666
12 46 8.979405
12 47 8.98833
13 0 8.686695
13 1 8.686719
13 2 8.686943
13 3 8.687366
13 4 8.68799
13 5 8.688814
13 6 8.689838
13 7 8.691061
13 8 8.692485
13 9 8.694108
13 10 8.695931
13 11 8.697954
13 12 8.700175
13 13 8.702596
13 14 8.705216
13 15 8.708035
13 16 8.711053
13 17 8.714269
13 18 8.717683
13 19 8.721295
13 20 8.725105
13 21 8.729113
13 22 8.733318
13 23 8.737719
13 24 8.742318
13 25 8.747112
13 26 8.752103
13 27 8.757289
13 28 8.762671
13 29 8.768248
13 30 8.774019
13 31 8.779985
13 32 8.786144
13 33 8.792497
13 34 8.799042
13 35 8.805781
13 36 8.812711
13 37 8.819833
13 38 8.827146
13 39 8.834651
13 40 8.842345
13 41 8.850229
13 42 8.858302
13 43 8.866564
13 44 8.875014
13 45 8.883652
13 46 8.892477
13 47 8.901489
14 0 8.973343
14 1 8.973366
14 2 8.973582
14 3 8.973992
14 4 8.974596
14 5 8.975394
14 6 8.976385
14 7 8.97757
14 8 8.978948
14 9 8.980519
14 10 8.982284
14 11 8.984242
14 12 8.986393
14 13 8.988737
14 14 8.991274
14 15 8.994003
14 16 8.996924
14 17 9.000038
14 18 9.003344
14 19 9.006842
14 20 9.010531
14 21 9.014412
14 22 9.018483
14 23 9.022746
14 24 9.027199
14 25 9.031843
14 26 9.036676
14 27 9.041699
14 28 9.046912
14 29 9.052313
14 30 9.057904
14 31 9.063682
14 32 9.069649
14 33 9.075803
14 34 9.082145
14 35 9.088673
14 36 9.095388
14 37 9.102289
14 38 9.109376
14 39 9.116647
14 40 9.124104
14 41 9.131744
14 42 9.139569
14 43 9.147577
14 44 9.155768
14 45 9.164141
14 46 9.172696
14 47 9.181433
15 0 8.544308
15 1 8.536011
15 2 8.52791
15 3 8.520005
15 4 8.512297
15 5 8.504787
15 6 8.497474
15 7 8.49036
15 8 8.483445
15 9 8.476729
15 10 8.470213
15 11 8.463898
15 12 8.457783
15 13 8.45187
15 14 8.446159
15 15 8.440649
15 16 8.435342
15 17 8.430238
15 18 8.425337
15 19 8.42064
15 20 8.416147
15 21 8.411858
15 22 8.407774
15 23 8.403894
15 24 8.40022
15 25 8.396751
15 26 8.393488
15 27 8.390431
15 28 8.38758
15 29 8.384935
15 30 8.382497
15 31 8.380265
15 32 8.378241
15 33 8.376423
15 34 8.374813
15 35 8.37341
15 36 8.372215
15 37 8.371227
15 38 8.370446
15 39 8.369874
15 40 8.369509
15 41 8.369351
15 42 8.369402
15 43 8.36966
15 44 8.370125
15 45 8.370799
15 46 8.37168
15 47 8.372768
16 0 8.546903
16 1 8.538608
16 2 8.53051
16 3 8.522607
16 4 8.514902
16 5 8.507393
16 6 8.500083
16 7 8.492971
16 8 8.486058
16 9 8.479344
16 10 8.472831
16 11 8.466517
16 12 8.460405
16 13 8.454493
16 14 8.448784
16 15 8.443276
16 16 8.437971
