run	BC1	BC2	BC3	BC4	BC5
1002	2040.3177595987	1760.0374516988	4725.1964593199	5111.0551794092	4264.6423450803
1003	2040.5524558365	1760.6180287866	4725.4629228836	5111.0885600868	4264.7265732626
1004	2041.0632695476	1761.3839044471	4725.7219455823	5111.1177825922	4264.8131144719
1005	2041.8289395326	1762.3212102731	4725.9727825374	5111.1429243673	4264.9009313394
1006	2042.8282045924	1763.4160778571	4726.2146888701	5111.1640628542	4264.9889864966
1007	2044.0398035275	1764.6546387917	4726.4469197015	5111.1812754949	4265.0762425748
1008	2045.4424751388	1766.0230246696	4726.6687301530	5111.1946397313	4265.1616622053
1009	2047.0149582269	1767.5073670833	4726.8793753458	5111.2042330055	4265.2442080196
1010	2048.7359915926	1769.0937976254	4727.0781104011	5111.2101327595	4265.3228426489
1011	2050.5843140366	1770.7684478885	4727.2641904401	5111.2124164353	4265.3965287246
1012	2052.5386643596	1772.5174494652	4727.4368705842	5111.2111614749	4265.4642288781
1013	2054.5777813623	1774.3269339482	4727.5954059545	5111.2064453203	4265.5249057407
1014	2056.6804038455	1776.1830329300	4727.7390516722	5111.1983454135	4265.5775219437
1015	2058.8252706098	1778.0718780032	4727.8670628587	5111.1869391965	4265.6210401186
1016	2060.9911204560	1779.9796007605	4727.9786946351	5111.1723041113	4265.6544228967
1017	2063.1587321596	1781.8923327944	4728.0732021226	5111.1545175999	4265.6766329093
1018	2065.3170443960	1783.7962056975	4728.1498404427	5111.1336571044	4265.6866327878
1019	2067.4570358151	1785.6773510625	4728.2078647163	5111.1098000667	4265.6833851635
1020	2069.5696850672	1787.5219004819	4728.2465300649	5111.0830239288	4265.6658526678
1021	2071.6459708023	1789.3159855483	4728.2650916096	5111.0534061328	4265.6329979321
1022	2073.6768716704	1791.0457378544	4728.2628044717	5111.0210241206	4265.5837835876
1023	2075.6533663218	1792.6972889926	4728.2389237724	5110.9859553343	4265.5171722658
1024	2077.5664334064	1794.2567705558	4728.1927046329	5110.9482772159	4265.4321265980
1025	2079.4070515745	1795.7103141363	4728.1234021746	5110.9080672073	4265.3276092156
1026	2081.1661994760	1797.0440513269	4728.0302715185	5110.8654027506	4265.2025827499
1027	2082.8348557612	1798.2441137202	4727.9125677861	5110.8203612877	4265.0560098322
1028	2084.4039990801	1799.2966329087	4727.7695460984	5110.7730202608	4264.8868530939
1029	2085.8646080828	1800.1877404850	4727.6004615768	5110.7234571117	4264.6940751665
1030	2087.2076614194	1800.9035680417	4727.4045693425	5110.6717492825	4264.4766386811
1031	2088.4241377400	1801.4302471715	4727.1811245166	5110.6179742152	4264.2335062692
