nRun 0.000 0.000 ZCoorHe
3353 1.017 -0.025 2.275
3354 0.984 0.074 2.275
3355 1.000 0.025 2.275
3357 1.017 -0.025 2.275
3362 1.000 0.025 2.225
3365 1.000 0.025 2.275
3366 1.017 -0.025 2.275
3368 1.000 0.075 2.225
3369 1.017 -0.025 2.225
3370 1.000 0.025 2.225
3374 1.000 0.075 2.225
3376 1.017 -0.025 2.275
3380 1.000 0.025 2.175
3381 1.017 -0.025 2.225
3382 1.000 0.075 2.225
3385 1.000 0.025 2.225
3390 1.000 0.025 2.275
3393 0.968 0.169 2.275
3394 1.000 0.025 2.225
3395 0.984 0.074 2.275
3398 0.984 0.123 2.275
3399 1.000 0.025 2.275
3400 0.952 0.214 2.275
3402 1.000 0.025 2.225
3403 1.017 -0.025 2.275
3406 1.000 0.025 2.225
3409 0.984 0.123 2.275
3410 0.968 0.169 2.275
3411 1.000 0.025 2.275
3412 1.000 0.025 2.275
3414 1.000 0.025 2.325
3415 1.034 -0.129 2.275
3416 0.984 0.074 2.275
3417 1.000 0.025 2.325
3421 1.000 0.025 2.275
3423 0.984 0.074 2.275
3425 1.000 0.025 2.175
3429 1.017 -0.025 2.225
