Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
15	6	21.9776
15	7	21.9566
15	8	21.9794
15	9	21.9696
15	10	21.9884
15	11	21.9479
15	12	21.9726
15	13	21.9677
15	14	21.9965
15	15	21.9944
15	16	21.9547
15	17	21.9910
15	18	21.9444
15	19	21.9814
15	20	21.9468
15	21	21.9647
15	22	21.9596
15	23	21.9494
15	24	21.9474
15	25	21.9574
15	26	21.9543
15	27	21.9503
15	28	21.9450
15	29	21.9506
15	30	21.9447
15	31	21.9436
16	0	21.4962
16	1	22.2110
16	2	22.2069
16	3	22.2109
16	4	22.2223
16	5	22.2095
16	6	22.1934
16	7	22.1893
16	8	22.2040
16	9	22.1934
16	10	22.1975
16	11	22.2034
16	12	22.2131
16	13	22.2230
16	14	22.2140
16	15	22.2391
16	16	22.2268
16	17	22.1934
16	18	22.2100
16	19	22.1949
16	20	22.2195
16	21	22.2037
16	22	22.2065
16	23	22.1964
16	24	22.1926
16	25	22.2174
16	26	22.2131
16	27	22.1995
16	28	22.1905
16	29	22.1968
16	30	22.2153
16	31	22.2087
17	0	21.1274
17	1	21.7574
17	2	21.7421
17	3	21.7436
17	4	21.7379
17	5	21.7505
17	6	21.7566
17	7	21.7622
17	8	21.7448
17	9	21.7480
17	10	21.7587
17	11	21.7392
17	12	21.7305
17	13	21.7527
17	14	21.7603
17	15	21.7451
17	16	21.7392
17	17	21.7341
17	18	21.7632
17	19	21.7283
17	20	21.7134
17	21	21.7541
17	22	21.7392
17	23	21.7397
17	24	21.7295
17	25	21.7289
17	26	21.7504
17	27	21.7296
17	28	21.7273
17	29	21.7434
17	30	21.7354
17	31	21.7450
18	0	21.3554
18	1	22.0161
18	2	21.9981
18	3	22.0107
18	4	22.0017
18	5	22.0026
18	6	22.0110
18	7	22.0086
18	8	22.0053
18	9	22.0065
18	10	22.0071
18	11	22.0132
18	12	21.9993
18	13	22.0204
18	14	22.0153
18	15	22.0143
18	16	21.9999
18	17	22.0326
18	18	21.9954
18	19	21.9591
18	20	22.0042
18	21	21.9920
18	22	22.0238
18	23	21.9809
18	24	21.9930
18	25	22.0018
18	26	21.9977
18	27	22.0146
18	28	22.0035
18	29	22.0012
18	30	22.0110
18	31	22.0010
19	0	21.7230
19	1	22.3968
19	2	22.3807
19	3	22.3818
19	4	22.3825
19	5	22.3721
19	6	22.3761
19	7	22.3507
19	8	22.4005
19	9	22.3704
19	10	22.4039
19	11	22.3666
19	12	22.3945
19	13	22.3741
19	14	22.4074
19	15	22.3832
19	16	21.7164
19	17	22.3834
19	18	22.3836
19	19	22.3838
19	20	22.3841
19	21	22.3581
19	22	22.4080
19	23	22.3632
19	24	22.3670
19	25	22.3539
19	26	22.3595
19	27	22.3793
19	28	22.3735
19	29	22.3800
19	30	22.3632
19	31	22.3970
20	0	21.0104
20	1	21.6241
20	2	21.6305
20	3	21.6049
20	4	21.6041
20	5	21.6180
20	6	21.5910
20	7	21.5749
20	8	21.5892
20	9	21.5949
20	10	21.5950
20	11	21.5489
20	12	21.5699
20	13	21.6010
20	14	21.5869
20	15	21.5633
20	16	21.5872
20	17	21.5658
20	18	21.5408
20	19	21.5726
20	20	21.5778
20	21	21.5670
20	22	21.5820
20	23	21.5903
20	24	21.5702
20	25	21.5859
20	26	21.5904
20	27	21.5737
20	28	21.5763
20	29	21.5841
20	30	21.6220
20	31	21.5942
21	0	20.9231
21	1	21.5123
21	2	21.5096
21	3	21.5005
21	4	21.5022
21	5	21.5155
21	6	21.5152
21	7	21.5178
21	8	21.5047
21	9	21.5128
21	10	21.5066
21	11	21.4884
21	12	21.4981
21	13	21.4904
21	14	21.4974
21	15	21.4740
21	16	21.4909
21	17	21.5139
21	18	21.4881
21	19	21.4669
21	20	21.4865
21	21	20.9164
21	22	21.5008
21	23	21.4836
21	24	21.4907
21	25	21.5302
21	26	21.5061
21	27	21.4815
21	28	21.4849
21	29	20.9213
21	30	21.5077
21	31	21.5166
22	0	21.2095
22	1	21.9085
22	2	21.9020
22	3	21.8985
22	4	21.8882
22	5	21.8963
22	6	21.8926
22	7	21.8991
22	8	21.8981
22	9	21.8947
22	10	21.9012
22	11	21.9187
22	12	21.8943
22	13	21.9188
22	14	21.9108
22	15	21.8757
22	16	21.8805
22	17	21.8987
22	18	21.2030
22	19	21.9030
22	20	21.8844
22	21	21.9423
22	22	21.8901
22	23	21.8804
22	24	21.8927
22	25	21.9006
22	26	21.9042
22	27	21.8911
22	28	21.9083
22	29	21.9012
22	30	21.9248
22	31	21.9149
23	0	20.9223
23	1	21.5756
23	2	21.5540
23	3	21.5664
23	4	21.5504
23	5	21.5423
23	6	21.5703
23	7	21.5749
23	8	21.5763
23	9	21.5781
23	10	21.5807
23	11	21.5812
23	12	21.5524
23	13	21.5750
23	14	21.5800
23	15	21.5789
23	16	21.5723
23	17	21.5942
23	18	21.5852
23	19	21.5725
23	20	21.5772
23	21	21.5590
23	22	21.5624
23	23	21.5638
23	24	21.5440
23	25	21.5584
23	26	21.5615
23	27	21.5559
23	28	21.5340
23	29	21.5658
23	30	21.5654
23	31	21.5726
24	0	21.2333
24	1	21.9660
24	2	21.9751
24	3	21.9714
24	4	21.9662
24	5	21.9878
24	6	21.9867
24	7	21.9654
24	8	21.9707
24	9	21.9976
24	10	21.9982
24	11	22.0001
24	12	21.9912
24	13	22.0005
24	14	22.0154
24	15	22.0025
24	16	22.0040
24	17	22.0209
24	18	22.0335
24	19	21.9976
24	20	21.2273
24	21	22.0002
24	22	21.9916
24	23	21.9726
24	24	21.9883
24	25	21.9740
24	26	21.9805
24	27	21.9717
24	28	21.9559
24	29	21.9738
24	30	21.9635
24	31	21.9582
25	0	20.9687
25	1	21.5387
25	2	21.5457
25	3	21.5350
25	4	21.5236
25	5	21.5359
25	6	21.5472
25	7	21.5647
25	8	21.6147
25	9	21.6236
25	10	21.6082
25	11	21.6322
25	12	21.5965
25	13	21.6407
25	14	21.6793
25	15	21.6844
25	16	21.6878
25	17	21.6671
25	18	21.6463
25	19	21.6437
25	20	21.6502
25	21	21.6357
25	22	21.6290
25	23	21.6130
25	24	21.6279
25	25	21.6086
25	26	21.5602
25	27	21.5050
25	28	21.4994
25	29	21.5088
25	30	21.5143
25	31	21.5248
26	0	21.3047
26	1	21.3038
26	2	21.7197
26	3	21.7198
26	4	21.7317
26	5	21.7729
26	6	21.7504
26	7	21.7669
26	8	21.8176
26	9	21.7881
