Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
12 10 8.800756
12 11 8.802619
12 12 8.804679
12 13 8.806936
12 14 8.80939
12 15 8.81204
12 16 8.814887
12 17 8.81793
12 18 8.821169
12 19 8.824604
12 20 8.828234
12 21 8.83206
12 22 8.836081
12 23 8.840297
12 24 8.844707
12 25 8.849312
12 26 8.854111
12 27 8.859103
12 28 8.864288
12 29 8.869667
12 30 8.875238
12 31 8.881001
12 32 8.886957
12 33 8.893103
12 34 8.899441
12 35 8.90597
12 36 8.912689
12 37 8.919598
12 38 8.926696
12 39 8.933983
12 40 8.941458
12 41 8.949122
12 42 8.956973
12 43 8.965011
12 44 8.973236
12 45 8.981647
12 46 8.990243
12 47 8.999025
13 0 8.703905
13 1 8.703792
13 2 8.703878
13 3 8.704164
13 4 8.70465
13 5 8.705335
13 6 8.706221
13 7 8.707305
13 8 8.708589
13 9 8.710073
13 10 8.711756
13 11 8.713638
13 12 8.715719
13 13 8.717999
13 14 8.720478
13 15 8.723155
13 16 8.726031
13 17 8.729105
13 18 8.732377
13 19 8.735847
13 20 8.739514
13 21 8.743379
13 22 8.747441
13 23 8.751699
13 24 8.756154
13 25 8.760805
13 26 8.765653
13 27 8.770695
13 28 8.775933
13 29 8.781365
13 30 8.786993
13 31 8.792814
13 32 8.798829
13 33 8.805037
13 34 8.811438
13 35 8.818032
13 36 8.824818
13 37 8.831795
13 38 8.838964
13 39 8.846323
13 40 8.853873
13 41 8.861612
13 42 8.869541
13 43 8.877658
13 44 8.885964
13 45 8.894457
13 46 8.903138
13 47 8.912005
14 0 8.990273
14 1 8.990164
14 2 8.990247
14 3 8.990524
14 4 8.990994
14 5 8.991658
14 6 8.992515
14 7 8.993565
14 8 8.994808
14 9 8.996245
14 10 8.997874
14 11 8.999696
14 12 9.001711
14 13 9.003919
14 14 9.006319
14 15 9.008912
14 16 9.011696
14 17 9.014673
14 18 9.017841
14 19 9.021201
14 20 9.024753
14 21 9.028495
14 22 9.032429
14 23 9.036553
14 24 9.040868
14 25 9.045372
14 26 9.050067
14 27 9.054951
14 28 9.060025
14 29 9.065287
14 30 9.070738
14 31 9.076377
14 32 9.082204
14 33 9.088219
14 34 9.094421
14 35 9.10081
14 36 9.107385
14 37 9.114146
14 38 9.121093
14 39 9.128225
14 40 9.135541
14 41 9.143042
14 42 9.150727
14 43 9.158595
14 44 9.166646
14 45 9.17488
14 46 9.183295
14 47 9.191892
15 0 8.566802
15 1 8.558388
15 2 8.55017
15 3 8.542147
15 4 8.53432
15 5 8.52669
15 6 8.519257
15 7 8.512021
15 8 8.504985
15 9 8.498146
15 10 8.491507
15 11 8.485068
15 12 8.478829
15 13 8.472791
15 14 8.466953
15 15 8.461317
15 16 8.455883
15 17 8.450651
15 18 8.445622
15 19 8.440795
15 20 8.436172
15 21 8.431753
15 22 8.427537
15 23 8.423526
15 24 8.41972
15 25 8.416118
15 26 8.412721
15 27 8.40953
15 28 8.406544
15 29 8.403765
15 30 8.401191
15 31 8.398823
15 32 8.396662
15 33 8.394707
15 34 8.392959
15 35 8.391418
15 36 8.390084
15 37 8.388957
15 38 8.388036
15 39 8.387324
15 40 8.386818
15 41 8.386519
15 42 8.386428
15 43 8.386544
15 44 8.386868
15 45 8.387399
15 46 8.388137
15 47 8.389082
16 0 8.569666
16 1 8.561256
16 2 8.55304
16 3 8.545019
16 4 8.537195
16 5 8.529567
16 6 8.522137
