TimeShift by Proton p>2GeV/c. Common TimeShift, ns
545
Plane	Strip	TimeShift, ns
9	8	21.6645
9	9	21.8124
9	10	21.6871
9	11	21.8149
9	12	21.7646
9	13	21.8873
9	14	21.8358
9	15	21.9134
9	16	21.9087
9	17	22.0004
9	18	21.8637
9	19	21.9775
9	20	21.8812
9	21	21.9508
9	22	21.9733
9	23	21.9692
9	24	21.8194
9	25	21.9197
9	26	21.9022
9	27	22.0327
9	28	21.9887
9	29	22.005
9	30	21.8782
9	31	22.0524
9	32	22.0114
9	33	22.0897
9	34	22.0628
9	35	22.1698
9	36	22.0929
9	37	22.2499
9	38	22.1224
9	39	22.21
9	40	22.1142
9	41	22.2344
9	42	22.1593
9	43	22.1745
9	44	22.095
9	45	22.283
9	46	22.271
9	47	22.3282
10	0	15.2412
10	1	15.0718
10	2	15.1049
10	3	15.2168
10	4	15.1069
10	5	15.07
10	6	15.0827
10	7	15.1168
10	8	14.9229
10	9	15.0977
10	10	15.0885
10	11	14.9101
10	12	14.9284
10	13	14.8407
10	14	14.9043
10	15	14.9831
10	16	14.8861
10	17	14.9621
10	18	14.9505
10	19	14.9916
10	20	14.8934
10	21	14.8752
10	22	15.0107
10	23	14.9051
10	24	14.8759
10	25	14.7668
10	26	14.7585
10	27	14.9155
10	28	14.816
10	29	14.8235
10	30	14.7958
10	31	14.7834
10	32	14.6161
10	33	14.6321
10	34	14.6208
10	35	14.5887
10	36	14.7027
10	37	14.7849
10	38	14.7987
10	39	14.6752
10	40	14.7666
10	41	14.8229
10	42	14.5623
10	43	14.7416
10	44	14.6465
10	45	14.5644
10	46	14.7687
10	47	14.7604
11	0	15.1715
11	1	15.0854
11	2	15.337
11	3	15.1883
11	4	15.1285
11	5	15.3947
11	6	15.0623
11	7	15.1357
11	8	15.2257
11	9	15.0268
11	10	15.0141
11	11	15.238
11	12	15.2966
11	13	15.0774
11	14	15.1133
11	15	15.2373
11	16	14.9509
11	17	15.0301
11	18	15.1168
11	19	15.0148
11	20	14.8657
11	21	15.138
11	22	15.0367
11	23	14.8857
11	24	15.0668
11	25	15.035
11	26	15.1472
11	27	15.0445
11	28	14.9427
11	29	15.0739
11	30	14.8822
11	31	14.9925
11	32	15.0074
11	33	14.9112
11	34	14.9989
11	35	15.0889
11	36	14.9846
11	37	15.0238
11	38	14.9989
11	39	15.0591
11	40	14.9567
11	41	15.023
11	42	14.9463
11	43	14.9877
11	44	14.8412
11	45	15.0659
11	46	15.1065
11	47	14.9735
12	0	17.078
12	1	16.9455
12	2	17.0675
12	3	17.1201
12	4	16.9711
12	5	17.0718
12	6	16.9216
12	7	16.9976
12	8	16.9448
12	9	16.8848
12	10	16.9168
12	11	16.9066
12	12	17.0076
12	13	16.7835
12	14	16.7701
12	15	16.9888
12	16	16.7512
12	17	16.8715
12	18	16.8184
12	19	16.6633
12	20	16.5599
12	21	16.8276
12	22	16.7257
12	23	16.6156
12	24	16.7539
12	25	16.6413
12	26	16.6774
12	27	16.7583
12	28	16.6575
12	29	16.6005
12	30	16.5874
12	31	16.6706
12	32	16.479
12	33	17.1297
12	34	16.6692
12	35	16.4782
12	36	16.4991
12	37	16.5522
12	38	16.5262
12	39	16.6358
12	40	15.6855
12	41	16.6024
12	42	16.5366
12	43	16.5766
12	44	16.478
12	45	16.6223
12	46	16.6408
12	47	16.5898
13	0	21.6436
13	1	21.5837
13	2	21.6407
13	3	21.7271
13	4	21.5749
13	5	21.6995
13	6	21.4546
13	7	21.5613
13	8	21.4855
13	9	21.4686
13	10	21.3901
13	11	21.5448
13	12	21.4881
13	13	21.3801
13	14	21.4182
13	15	21.5227
13	16	21.3536
13	17	21.4299
13	18	21.3268
13	19	21.3697
13	20	21.3198
13	21	21.3502
13	22	21.3415
13	23	21.2882
13	24	21.5616
13	25	21.4341
13	26	21.3566
13	27	21.6325
13	28	21.5125
13	29	21.3816
13	30	21.5195
13	31	21.559
13	32	21.3448
13	33	21.5436
13	34	21.4942
13	35	21.3461
13	36	21.3447
13	37	21.4732
