nRun 0.000 0.000 ZcoorHe
2962 0.909 0.114 2.425
2963 0.938 -0.023 6.425
2964 0.923 0.023 2.425
2966 0.923 0.069 3.175
2969 0.909 0.114 3.175
2970 0.909 0.114 2.425
2972 0.923 0.069 6.425
2973 0.896 0.157 2.375
2974 1.000 -0.275 0.000
2975 1.000 -0.275 0.000
2976 0.938 0.023 2.425
2977 0.938 0.023 3.175
2978 0.923 0.069 2.425
2979 0.923 0.069 2.425
2980 0.938 0.023 6.375
2981 0.923 0.069 2.425
2982 1.000 -0.225 0.000
3002 1.000 -0.175 0.000
3003 1.000 -0.225 6.225
3004 0.923 0.069 2.425
3007 0.909 0.114 2.375
3008 0.909 0.114 2.425
3010 0.938 0.023 2.425
3011 0.923 0.069 2.375
3012 0.909 0.114 2.425
3013 0.923 0.069 2.425
3015 0.923 0.069 6.425
3018 0.923 0.069 2.375
3021 0.909 0.114 2.425
3022 0.896 0.201 2.325
3023 0.909 0.114 2.375
3025 0.923 0.069 2.325
3026 0.923 0.069 0.000
3028 0.923 0.069 6.425
3029 0.923 0.069 2.375
3036 0.923 0.069 6.425
3037 0.938 0.023 6.375
3039 0.938 0.023 6.375
3041 0.938 0.023 6.375
3042 0.938 0.023 6.375
3043 0.938 0.023 6.375
3044 1.000 -0.175 0.000
3045 1.000 -0.175 6.175
3046 1.000 -0.175 0.000
3049 1.000 0.750 0.000
3051 1.000 -0.125 0.000
3052 1.000 -0.125 0.000
3053 1.000 -0.125 6.125
3054 1.017 -0.229 3.175
3056 1.017 -0.229 3.175
3057 1.034 -0.284 3.175
3058 0.984 -0.074 2.325
3059 0.923 0.115 2.375
3060 0.968 -0.073 2.325
3061 0.923 0.162 2.325
3062 0.938 0.070 2.375
3063 0.938 0.070 6.325
3064 0.909 0.205 2.375
3065 0.923 0.115 2.275
3066 0.896 0.201 2.275
3067 0.938 0.023 2.325
3068 0.938 0.023 2.325
3069 0.923 0.115 6.375
3070 0.923 0.115 2.325
3071 0.896 0.246 2.325
3072 0.909 0.205 2.275
3073 0.923 0.115 2.275
3075 0.909 0.159 2.275
3076 0.938 0.023 6.375
3077 0.896 0.246 2.325
3078 0.923 0.115 2.325
3079 0.909 0.205 2.275
3080 0.923 0.115 2.275
3081 0.938 0.070 6.325
3083 0.909 0.205 2.225
3084 0.923 0.115 2.275
3085 0.938 0.070 2.325
3086 0.811 0.669 2.425
3087 0.923 0.115 2.275
3088 0.938 0.070 6.325
3089 0.923 0.162 2.325
3091 0.923 0.162 2.275
3094 0.938 0.070 2.275
3095 0.938 0.070 2.325
3096 0.938 0.070 6.325
3097 0.938 0.070 2.325
3098 0.938 0.070 2.325
3099 0.923 0.162 2.275
3100 0.938 0.070 2.325
3101 0.938 0.070 6.325
3102 0.923 0.162 2.375
3104 0.952 0.071 2.325
3105 0.952 0.024 2.275
3108 0.923 0.162 2.375
3109 0.909 0.250 3.025
3113 0.938 0.070 2.375
3114 0.938 0.070 2.325
3115 0.938 0.070 6.325
3117 0.923 0.115 2.325
3118 0.909 0.114 2.475
3119 0.909 0.205 2.325
3120 0.938 0.070 2.375
3121 0.968 -0.024 2.375
3122 0.968 -0.024 6.225
3123 0.968 0.024 2.375
3125 0.968 -0.024 3.125
3126 0.938 0.070 2.375
3127 0.923 0.115 2.375
3128 0.938 0.070 2.375
3129 0.923 0.162 2.375
3130 0.923 0.115 2.325
3131 0.923 0.115 2.325
3134 0.938 0.070 6.325
3135 0.923 0.115 6.375
3136 1.017 -0.178 0.000
3137 1.034 -0.284 0.000
3138 1.053 -0.289 0.000
3139 1.053 -0.289 3.125
3141 1.000 -0.075 0.000
3142 1.000 -0.075 0.000
3143 1.000 -0.075 0.000
3144 1.000 -0.075 0.000
3145 0.968 -0.024 6.225
3146 0.952 0.071 6.225
3147 0.952 0.071 6.225
3148 1.000 -0.075 2.275
3149 0.938 0.164 2.325
3150 0.968 0.073 2.325
3152 0.952 0.119 2.325
3153 0.952 0.119 2.325
3154 0.984 -0.025 2.325
3155 0.968 0.024 6.175
3157 0.968 0.024 2.325
3159 0.968 0.024 2.375
3160 0.952 0.119 2.325
3161 0.984 -0.074 2.375
3162 0.984 -0.074 6.175
3163 0.952 0.071 2.325
3164 0.968 0.024 2.325
3165 0.968 -0.024 2.325
3166 0.952 0.071 2.325
3167 0.968 0.024 6.175
3168 0.952 0.071 2.325
3170 0.952 0.071 2.325
3172 0.952 0.071 2.325
3174 0.952 0.071 2.325
3176 0.968 0.024 6.175
3178 0.938 0.164 2.325
3180 0.952 0.119 2.325
3181 0.952 0.119 2.275
3182 0.952 0.119 2.375
3183 0.952 0.119 2.275
3184 0.968 0.024 6.175
3185 0.952 0.071 2.325
3186 0.952 0.071 2.275
3187 0.952 0.071 2.275
3188 0.952 0.071 2.275
3189 0.952 0.119 2.225
3190 0.968 0.024 6.175
3192 0.938 0.164 2.275
3193 0.952 0.119 2.225
3194 0.952 0.071 2.325
3195 0.952 0.071 2.325
3196 0.968 -0.024 6.225
3197 0.952 0.071 6.225
3199 0.952 0.071 2.325
3200 0.938 0.117 2.275
3202 0.952 0.071 2.375
3205 0.952 0.071 6.225
3206 0.952 0.071 2.325
3207 0.938 0.117 2.275
3208 0.952 0.071 2.325
3210 0.952 0.071 2.325
3211 0.968 -0.024 6.225
3212 0.968 0.024 6.175
3213 0.938 0.164 2.325
3214 0.938 0.117 2.325
3216 0.952 0.071 2.325
3217 0.968 0.024 2.325
3218 0.984 -0.074 6.175
3219 0.952 0.024 2.325
3220 0.952 0.071 2.325
3221 0.952 0.071 2.275
3224 0.952 0.119 2.325
3225 0.984 -0.025 6.125
3227 0.938 0.117 3.075
3229 0.968 0.024 2.325
3230 0.938 0.117 2.375
3231 0.984 -0.025 2.375
3232 0.984 -0.025 2.275
3233 0.968 0.073 3.025
3234 0.968 0.073 2.275
3235 0.968 0.024 2.325
3236 0.968 0.024 2.325
3237 0.968 0.024 2.275
3239 0.984 -0.025 6.125
3241 0.952 0.071 2.325
3243 0.984 -0.025 2.325
3245 0.952 0.119 2.325
3246 0.938 0.164 2.325
3247 0.952 0.119 2.325
3248 0.968 0.024 2.275
3249 0.968 0.024 2.325
3252 0.952 0.119 2.325
