ncrates
2

crate	crateID
0	0x68C99E
1	0x6912B2

nslots
15

crate	slot	dnltype		dnlfile
0	0	2		TDC_FFD_INL.dat
1	10	26		13		11		2
1	10	27		13		12		2
1	10	28		13		13		2
1	10	29		13		14		2
1	10	30		13		15		2
1	10	31		13		16		2
1	10	32		13		17		1
1	10	33		13		18		1
1	10	34		13		19		1
1	10	35		13		20		1
1	10	36		13		21		1
1	10	37		13		22		1
1	10	38		13		23		1
1	10	39		13		24		1
1	10	40		13		25		1
1	10	41		13		26		1
1	10	42		13		27		1
1	10	43		13		28		1
1	10	44		13		29		1
1	10	45		13		30		1
1	10	46		13		31		1
1	10	47		13		32		1
1	10	48		13		17		2
1	10	49		13		18		2
1	10	50		13		19		2
1	10	51		13		20		2
1	10	52		13		21		2
1	10	53		13		22		2
1	10	54		13		23		2
1	10	55		13		24		2
1	10	56		13		25		2
1	10	57		13		26		2
1	10	58		13		27		2
1	10	59		13		28		2
1	10	60		13		29		2
1	10	61		13		30		2
1	10	62		13		31		2
1	10	63		13		32		2
1	11	0		7		1		1
1	11	1		7		2		1
1	11	2		7		3		1
1	11	3		7		4		1
1	11	4		7		5		1
1	11	5		7		6		1
1	11	6		7		7		1
1	11	7		7		8		1
1	11	8		7		9		1
1	11	9		7		10		1
1	11	10		7		11		1
1	11	11		7		12		1
1	11	12		7		13		1
1	11	13		7		14		1
1	11	14		7		15		1
1	11	15		7		16		1
1	11	16		7		1		2
1	11	17		7		2		2
1	11	18		7		3		2
1	11	19		7		4		2
1	11	20		7		5		2
1	11	21		7		6		2
1	11	22		7		7		2
1	11	23		7		8		2
1	11	24		7		9		2
1	11	25		7		10		2
1	11	26		7		11		2
1	11	27		7		12		2
1	11	28		7		13		2
1	11	29		7		14		2
1	11	30		7		15		2
1	11	31		7		16		2
1	11	32		7		17		1
1	11	33		7		18		1
1	11	34		7		19		1
1	11	35		7		20		1
1	11	36		7		21		1
1	11	37		7		22		1
1	11	38		7		23		1
1	11	39		7		24		1
1	11	40		7		25		1
1	11	41		7		26		1
1	11	42		7		27		1
1	11	43		7		28		1
1	11	44		7		29		1
1	11	45		7		30		1
1	11	46		7		31		1
1	11	47		7		32		1
1	11	48		7		17		2
1	11	49		7		18		2
1	11	50		7		19		2
1	11	51		7		20		2
1	11	52		7		21		2
1	11	53		7		22		2
1	11	54		7		23		2
1	11	55		7		24		2
1	11	56		7		25		2
1	11	57		7		26		2
1	11	58		7		27		2
1	11	59		7		28		2
1	11	60		7		29		2
1	11	61		7		30		2
1	11	62		7		31		2
1	11	63		7		32		2
1	12	0		1		1		1
1	12	1		1		2		1
1	12	2		1		3		1
1	12	3		1		4		1
1	12	4		1		5		1
1	12	5		1		6		1
1	12	6		1		7		1
1	12	7		1		8		1
1	12	8		1		9		1
1	12	9		1		10		1
1	12	10		1		11		1
1	12	11		1		12		1
1	12	12		1		13		1
1	12	13		1		14		1
1	12	14		1		15		1
1	12	15		1		16		1
1	12	16		1		1		2
1	12	17		1		2		2
1	12	18		1		3		2
1	12	19		1		4		2
1	12	20		1		5		2
1	12	21		1		6		2
1	12	22		1		7		2
1	12	23		1		8		2
1	12	24		1		9		2
1	12	25		1		10		2
1	12	26		1		11		2
1	12	27		1		12		2
1	12	28		1		13		2
1	12	29		1		14		2
1	12	30		1		15		2
1	12	31		1		16		2
1	12	32		1		17		1
1	12	33		1		18		1
1	12	34		1		19		1
1	12	35		1		20		1
1	12	36		1		21		1
1	12	37		1		22		1
1	12	38		1		23		1
1	12	39		1		24		1
1	12	40		1		25		1
1	12	41		1		26		1
1	12	42		1		27		1
1	12	43		1		28		1
1	12	44		1		29		1
1	12	45		1		30		1
1	12	46		1		31		1
1	12	47		1		32		1
1	12	48		1		17		2
1	12	49		1		18		2
1	12	50		1		19		2
1	12	51		1		20		2
1	12	52		1		21		2
1	12	53		1		22		2
1	12	54		1		23		2
1	12	55		1		24		2
1	12	56		1		25		2
1	12	57		1		26		2
1	12	58		1		27		2
1	12	59		1		28		2
1	12	60		1		29		2
1	12	61		1		30		2
1	12	62		1		31		2
1	12	63		1		32		2
1	13	0		11		1		1
1	13	1		11		2		1
1	13	2		11		3		1
1	13	3		11		4		1
1	13	4		11		5		1
1	13	5		11		6		1
1	13	6		11		7		1
1	13	7		11		8		1
1	13	8		11		9		1
1	13	9		11		10		1
1	13	10		11		11		1
1	13	11		11		12		1
1	13	12		11		13		1
1	13	13		11		14		1
1	13	14		11		15		1
1	13	15		11		16		1
1	13	16		11		1		2
1	13	17		11		2		2
1	13	18		11		3		2
1	13	19		11		4		2
1	13	20		11		5		2
1	13	21		11		6		2
1	13	22		11		7		2
1	13	23		11		8		2
1	13	24		11		9		2
1	13	25		11		10		2
1	13	26		11		11		2
1	13	27		11		12		2
1	13	28		11		13		2
1	13	29		11		14		2
1	13	30		11		15		2
1	13	31		11		16		2
1	13	32		11		17		1
1	13	33		11		18		1
1	13	34		11		19		1
1	13	35		11		20		1
1	13	36		11		21		1
1	13	37		11		22		1
1	13	38		11		23		1
1	13	39		11		24		1
1	13	40		11		25		1
1	13	41		11		26		1
1	13	42		11		27		1
1	13	43		11		28		1
1	13	44		11		29		1
1	13	45		11		30		1
1	13	46		11		31		1
1	13	47		11		32		1
1	13	48		11		17		2
1	13	49		11		18		2
1	13	50		11		19		2
1	13	51		11		20		2
1	13	52		11		21		2
1	13	53		11		22		2
1	13	54		11		23		2
1	13	55		11		24		2
1	13	56		11		25		2
1	13	57		11		26		2
1	13	58		11		27		2
1	13	59		11		28		2
1	13	60		11		29		2
1	13	61		11		30		2
1	13	62		11		31		2
1	13	63		11		32		2
1	14	0		5		1		1
1	14	1		5		2		1
1	14	2		5		3		1
1	14	3		5		4		1
1	14	4		5		5		1
1	14	5		5		6		1
1	14	6		5		7		1
1	14	7		5		8		1
1	14	8		5		9		1
1	14	9		5		10		1
1	14	10		5		11		1
1	14	11		5		12		1
1	14	12		5		13		1
1	14	13		5		14		1
1	14	14		5		15		1
1	14	15		5		16		1
1	14	16		5		1		2
1	14	17		5		2		2
1	14	18		5		3		2
1	14	19		5		4		2
1	14	20		5		5		2
1	14	21		5		6		2
1	14	22		5		7		2
1	14	23		5		8		2
1	14	24		5		9		2
1	14	25		5		10		2
1	14	26		5		11		2
1	14	27		5		12		2
1	14	28		5		13		2
1	14	29		5		14		2
1	14	30		5		15		2
1	14	31		5		16		2
1	14	32		5		17		1
1	14	33		5		18		1
1	14	34		5		19		1
1	14	35		5		20		1
1	14	36		5		21		1
1	14	37		5		22		1
1	14	38		5		23		1
1	14	39		5		24		1
1	14	40		5		25		1
1	14	41		5		26		1
1	14	42		5		27		1
1	14	43		5		28		1
1	14	44		5		29		1
1	14	45		5		30		1
1	14	46		5		31		1
1	14	47		5		32		1
1	14	48		5		17		2
1	14	49		5		18		2
1	14	50		5		19		2
1	14	51		5		20		2
1	14	52		5		21		2
1	14	53		5		22		2
1	14	54		5		23		2
1	14	55		5		24		2
1	14	56		5		25		2
1	14	57		5		26		2
1	14	58		5		27		2
1	14	59		5		28		2
1	14	60		5		29		2
1	14	61		5		30		2
1	14	62		5		31		2
1	14	63		5		32		2
1	15	0		14		1		1
1	15	1		14		2		1
1	15	2		14		3		1
1	15	3		14		4		1
1	15	4		14		5		1
1	15	5		14		6		1
1	15	6		14		7		1
1	15	7		14		8		1
1	15	8		14		9		1
1	15	9		14		10		1
1	15	10		14		11		1
1	15	11		14		12		1
1	15	12		14		13		1
1	15	13		14		14		1
1	15	14		14		15		1
1	15	15		14		16		1
1	15	16		14		1		2
1	15	17		14		2		2
1	15	18		14		3		2
1	15	19		14		4		2
1	15	20		14		5		2
1	15	21		14		6		2
1	15	22		14		7		2
1	15	23		14		8		2
1	15	24		14		9		2
1	15	25		14		10		2
1	15	26		14		11		2
1	15	27		14		12		2
1	15	28		14		13		2
1	15	29		14		14		2
1	15	30		14		15		2
1	15	31		14		16		2
1	15	32		14		17		1
1	15	33		14		18		1
1	15	34		14		19		1
1	15	35		14		20		1
1	15	36		14		21		1
1	15	37		14		22		1
1	15	38		14		23		1
1	15	39		14		24		1
1	15	40		14		25		1
1	15	41		14		26		1
1	15	42		14		27		1
1	15	43		14		28		1
1	15	44		14		29		1
1	15	45		14		30		1
1	15	46		14		31		1
1	15	47		14		32		1
1	15	48		14		17		2
1	15	49		14		18		2
1	15	50		14		19		2
1	15	51		14		20		2
1	15	52		14		21		2
1	15	53		14		22		2
1	15	54		14		23		2
1	15	55		14		24		2
1	15	56		14		25		2
1	15	57		14		26		2
1	15	58		14		27		2
1	15	59		14		28		2
1	15	60		14		29		2
1	15	61		14		30		2
1	15	62		14		31		2
1	15	63		14		32		2
1	16	0		10		1		1
1	16	1		10		2		1
1	16	2		10		3		1
1	16	3		10		4		1
1	16	4		10		5		1
1	16	5		10		6		1
1	16	6		10		7		1
1	16	7		10		8		1
1	16	8		10		9		1
1	16	9		10		10		1
1	16	10		10		11		1
1	16	11		10		12		1
1	16	12		10		13		1
1	16	13		10		14		1
1	16	14		10		15		1
1	16	15		10		16		1
1	16	16		10		1		2
1	16	17		10		2		2
1	16	18		10		3		2
1	16	19		10		4		2
1	16	20		10		5		2
1	16	21		10		6		2
1	16	22		10		7		2
1	16	23		10		8		2
1	16	24		10		9		2
1	16	25		10		10		2
1	16	26		10		11		2
1	16	27		10		12		2
1	16	28		10		13		2
1	16	29		10		14		2
1	16	30		10		15		2
1	16	31		10		16		2
1	16	32		10		17		1
1	16	33		10		18		1
1	16	34		10		19		1
1	16	35		10		20		1
1	16	36		10		21		1
1	16	37		10		22		1
1	16	38		10		23		1
