Plane	Strip	Mean
3	21	-0.0820312
3	22	0.339844
3	23	-0.0351563
3	24	-0.164063
3	25	-0.046875
3	26	0.09375
3	27	-0.105469
3	28	-0.269531
3	29	-0.0703125
3	30	-0.046875
3	31	0.199219
4	0	0
4	1	-0.304688
4	2	-0.316406
4	3	-0.269531
4	4	-0.339844
4	5	-0.363281
4	6	-0.316406
4	7	-0.339844
4	8	-0.0351562
4	9	0.152344
4	10	0.269531
4	11	-0.0703125
4	12	-0.105469
4	13	-0.152344
4	14	0.09375
4	15	-0.128906
4	16	-0.164062
4	17	-0.175781
4	18	-0.304688
4	19	-0.199219
4	20	-0.175781
4	21	0.0234375
4	22	-0.375
4	23	-0.351562
4	24	-0.046875
4	25	-0.0234375
4	26	0.046875
4	27	0.0351562
4	28	-0.140625
4	29	-0.0234375
4	30	0.105469
4	31	-0.1875
5	0	0
5	1	0.0820312
5	2	-0.0351562
5	3	0.128906
5	4	0.105469
5	5	0.140625
5	6	0.410156
5	7	0.410156
5	8	-0.046875
5	9	-0.140625
5	10	-0.140625
5	11	-0.117187
5	12	-0.0703125
5	13	-0.164062
5	14	-0.328125
5	15	-0.234375
5	16	-0.105469
5	17	0.140625
5	18	0.1875
5	19	0.292969
5	20	0.234375
5	21	0.222656
5	22	0.304688
5	23	0.269531
5	24	-0.363281
5	25	-0.140625
5	26	-0.09375
5	27	-0.117188
5	28	-0.164062
5	29	0.0117187
5	30	-0.0234375
5	31	-0.246094
6	0	0
6	1	-0.269531
6	2	-0.375
6	3	-0.28125
6	4	-0.316406
6	5	-0.234375
6	6	-0.339844
6	7	-0.328125
6	8	0.105469
6	9	0.0703125
6	10	0.140625
6	11	0.1875
6	12	0.199219
6	13	0.304688
6	14	0.0703125
6	15	0.164063
6	16	-2.57265e-17
6	17	-0.164063
6	18	-0.28125
6	19	-0.222656
6	20	-0.0703125
6	21	-0.304688
6	22	-0.234375
6	23	-0.550781
6	24	-0.0234375
6	25	-0.0585938
6	26	-0.0234375
6	27	-0.0117188
6	28	-0.046875
6	29	-0.140625
6	30	-0.105469
6	31	-0.046875
7	0	0
7	1	0.0234375
7	2	0.117188
7	3	0.175781
7	4	0.128906
7	5	0.117187
7	6	0.105469
7	7	0.234375
7	8	0.046875
7	9	-0.046875
7	10	0.0585937
7	11	-0.128906
7	12	0.234375
7	13	0.0351563
7	14	0.0117187
7	15	-0.0585937
7	16	0.175781
7	17	0.164062
7	18	0.152344
7	19	0.175781
7	20	0.117187
7	21	0.234375
7	22	0.269531
7	23	0.316406
7	24	0.0234375
7	25	0.140625
7	26	-0.175781
7	27	-0.140625
7	28	-0.140625
7	29	-0.09375
7	30	-0.105469
7	31	-0.09375
8	0	0
8	1	-0.117188
8	2	-0.175781
8	3	-0.175781
8	4	-0.375
8	5	-0.234375
8	6	-0.175781
8	7	-0.269531
8	8	0.199219
8	9	0.304688
8	10	-0.046875
8	11	0.164062
8	12	0.128906
8	13	0.140625
8	14	0.246094
8	15	0.140625
8	16	-0.304688
8	17	-0.328125
8	18	-0.1875
8	19	-0.257812
8	20	-0.433594
8	21	-0.234375
8	22	-0.492187
8	23	-0.527344
8	24	-0.046875
8	25	0.046875
8	26	0.09375
8	27	0.128906
8	28	-0.09375
8	29	0.046875
8	30	0.0234375
8	31	-0.0820312
9	0	0
9	1	-0.105469
9	2	-0.0117188
9	3	0.199219
9	4	0.257813
9	5	0.398438
9	6	0.445313
9	7	0.292969
9	8	-0.0703125
9	9	-0.234375
9	10	-0.339844
9	11	0.0351562
9	12	-0.0234375
9	13	-0.175781
9	14	-0.0703125
9	15	-0.269531
9	16	0.269531
9	17	0.152344
9	18	0.222656
9	19	0.246094
9	20	0.0117188
9	21	0.351563
9	22	0.257813
9	23	0.105469
9	24	0.0703125
9	25	-0.046875
9	26	-0.292969
9	27	0.0351562
9	28	-0.199219
9	29	-0.328125
9	30	-0.363281
9	31	-0.046875
10	0	0
10	1	-0.351563
10	2	-0.140625
10	3	-0.105469
10	4	-0.164062
10	5	-0.152344
10	6	-0.292969
10	7	-0.128906
10	8	-0.210937
10	9	0.0820313
10	10	-0.105469
10	11	-0.0820312
10	12	-0.105469
10	13	-0.0117188
10	14	0.152344
10	15	0.0351562
10	16	0.0585938
10	17	-0.246094
10	18	-0.269531
10	19	-0.128906
10	20	-0.140625
10	21	-0.1875
10	22	-0.1875
10	23	-0.246094
10	24	0.0585937
10	25	0.0703125
10	26	-0.0117188
10	27	-0.0351562
10	28	0.339844
10	29	0
10	30	0.046875
10	31	-0.0234375
11	0	0
11	1	0.539062
11	2	0.609375
11	3	0.292969
11	4	0.480469
11	5	0.503906
11	6	0.421875
11	7	0.304687
11	8	-0.0820313
11	9	0.246094
11	10	0.0820313
11	11	-0.046875
11	12	0.175781
11	13	0.0703125
11	14	0.105469
11	15	0.0585938
11	16	0.0703125
11	17	0.398438
11	18	0.386719
11	19	0.445313
11	20	0.246094
11	21	0.316406
11	22	0.246094
11	23	0.363281
11	24	-0.140625
11	25	0.292969
11	26	0.292969
11	27	-0.0820312
11	28	-0.105469
11	29	0.140625
11	30	-0.09375
11	31	0.363281
12	0	0
12	1	-0.117188
12	2	-0.210938
12	3	-0.234375
12	4	-0.175781
12	5	-0.304688
12	6	-0.445313
12	7	-0.292969
12	8	0.1875
12	9	0.128906
12	10	-0.0703125
12	11	-0.0351562
12	12	0.0585938
12	13	0.117188
12	14	0.09375
12	15	0.046875
12	16	0.0820312
12	17	-0.0820313
12	18	-0.140625
12	19	-0.328125
12	20	-0.1875
12	21	0.0703125
12	22	-0.351562
12	23	-0.117187
12	24	0.0703125
12	25	0.1875
12	26	0.0351563
12	27	0.257813
12	28	0.046875
12	29	0.222656
12	30	0.351562
12	31	0.0340909
13	0	0
13	1	0.375
13	2	0.257813
13	3	0.292969
13	4	0.1875
13	5	0.363281
13	6	0.1875
13	7	0
13	8	0.0351563
13	9	0.117187
13	10	0.28125
13	11	-0.0234375
13	12	0.0820312
13	13	-0.0234375
13	14	0.117188
13	15	0.09375
13	16	0.164062
13	17	0.199219
13	18	0.175781
13	19	0.210938
13	20	0.210937
13	21	0.234375
13	22	0.445313
13	23	0.246094
13	24	-0.046875
13	25	-0.0234375
13	26	-0.128906
13	27	-0.09375
13	28	-0.0117188
13	29	-0.09375
13	30	-0.140625
13	31	-0.09375
14	0	0
14	1	-0.152344
14	2	-0.234375
14	3	-0.210937
14	4	-0.222656
14	5	-0.292969
14	6	-0.292969
14	7	-0.398437
14	8	0.0351562
14	9	0.0117187
14	10	0.0820313
14	11	0.0234375
14	12	-0.046875
14	13	0.105469
14	14	0.0703125
14	15	-0.046875
14	16	-0.210937
14	17	-0.09375
14	18	-0.222656
14	19	-0.375
14	20	-0.269531
14	21	-0.328125
14	22	-0.1875
14	23	-0.1875
14	24	0.0585937
14	25	-0.0585937
14	26	-0.0820313
14	27	0.152344
14	28	0.0585938
14	29	-0.0703125
14	30	-0.0820312
14	31	-0.0234375
15	0	0
15	1	0.140625
15	2	0.152344
15	3	0.175781
15	4	0.164062
15	5	0.210938
15	6	0.257813
15	7	0.234375
15	8	7.24148e-18
15	9	-0.0234375
15	10	-0.0703125
15	11	-0.0703125
15	12	-0.0585938
15	13	-0.046875
15	14	0.046875
15	15	7.79114e-18
15	16	0.1875
15	17	0.128906
15	18	0.222656
15	19	0.1875
15	20	0.164062
15	21	0.175781
15	22	0.0820313
15	23	0.246094
15	24	-0.046875
15	25	-0.0820313
15	26	-0.0820312
15	27	-0.0820312
15	28	-0.117188
15	29	-0.0585937
15	30	-0.046875
15	31	-0.117188
16	0	0
16	1	-0.0351563
16	2	-0.0703125
16	3	-0.09375
16	4	-0.175781
16	5	0.0585937
16	6	-0.339844
16	7	-0.140625
16	8	0.1875
16	9	0.175781
16	10	0.175781
16	11	0.175781
16	12	0.0234375
16	13	0.140625
16	14	0.269531
16	15	0.09375
16	16	-0.046875
16	17	-0.0820313
16	18	-0.164062
16	19	-0.0820312
16	20	-0.117188
16	21	0.0585938
16	22	-0.375
16	23	-0.246094
16	24	0.0585938
16	25	0.0703125
16	26	0.117187
16	27	0.175781
16	28	-0.0117187
16	29	0.0703125
16	30	0.164063
16	31	0.0117188
17	0	0
17	1	-0.0117188
17	2	0.046875
17	3	0.128906
17	4	0.09375
17	5	0.117187
17	6	0.1875
17	7	0.199219
17	8	0.0117188
17	9	-0.0117187
17	10	0.0117187
17	11	-0.0117188
17	12	0.0703125
17	13	-0.09375
17	14	-0.164063
17	15	-0.0703125
17	16	-1.15284e-17
17	17	0.117187
17	18	0.128906
17	19	0.175781
17	20	0.128906
17	21	0.175781
17	22	0.199219
17	23	0.175781
17	24	-0.0351563
17	25	-0.0585938
17	26	-0.0820313
17	27	-0.0234375
17	28	0.0117188
17	29	-0.0585938
17	30	-0.09375
17	31	-0.0234375
18	0	0
18	1	-0.175781
18	2	-0.1875
18	3	-0.164063
18	4	-0.199219
18	5	-0.363281
18	6	-0.0585938
18	7	-0.199219
18	8	0.105469
18	9	0.046875
18	10	0.046875
18	11	0.164062
18	12	0.234375
18	13	0.0585937
18	14	-0.0703125
18	15	0.0703125
18	16	-0.046875
18	17	-0.164062
18	18	-0.1875
18	19	-0.210937
18	20	-0.246094
18	21	-0.234375
18	22	-0.292969
18	23	-0.316406
18	24	0.0703125
18	25	0.09375
18	26	0.0351562
18	27	0.0820313
18	28	0.0585938
18	29	0.0351562
18	30	0.0117188
18	31	0.046875
19	0	0
19	1	-0.316406
19	2	-0.269531
19	3	-0.339844
19	4	-0.28125
19	5	-0.410156
19	6	-0.457031
19	7	-0.457031
