Plane	Strip	Speed
16 32 0.0590579
17 1 0.0609357
17 2 0.058561
17 3 0.0580184
17 4 0.057441
17 5 0.0572612
17 6 0.0567542
17 7 0.0566357
17 8 0.0562681
17 9 0.0563704
17 10 0.0561144
17 11 0.0570001
17 12 0.0565312
17 13 0.0567351
17 14 0.0568637
17 15 0.0567561
17 16 0.0566439
17 17 0.055713
17 18 0.0560202
17 19 0.0556081
17 20 0.0555794
17 21 0.0556574
17 22 0.0555383
17 23 0.0553538
17 24 0.0557183
17 25 0.0551104
17 26 0.054732
17 27 0.0549001
17 28 0.0549713
17 29 0.0550571
17 30 0.05538
17 31 0.0612251
17 32 0.0564429
18 1 0.0594136
18 2 0.0595949
18 3 0.0594268
18 4 0.0588531
18 5 0.0583964
18 6 0.0591263
18 7 0.0589919
18 8 0.0590379
18 9 0.0583168
18 10 0.0585474
18 11 0.0576015
18 12 0.0577437
18 13 0.0581957
18 14 0.0576448
18 15 0.0572878
18 16 0.0571907
18 17 0.0582458
18 18 0.0566344
18 19 0.0556564
18 20 0.0563014
18 21 0.0561476
18 22 0.0570826
18 23 0.0570087
18 24 0.0559135
18 25 0.057348
18 26 0.057061
18 27 0.0575015
18 28 0.0573349
18 29 0.0579836
18 30 0.0588321
18 31 0.0587698
18 32 0.0582072
19 1 0.0598571
19 2 0.0602155
19 3 0.0599757
19 4 0.0595223
19 5 0.0597472
19 6 0.0592352
19 7 0.0590961
19 8 0.058731
19 9 0.059631
19 10 0.0588764
19 11 0.0585925
19 12 0.0590172
19 13 0.0583144
19 14 0.0590468
19 15 0.0588619
19 17 0.0583099
19 18 0.0584856
19 19 0.0573459
19 20 0.0571319
19 21 0.0581618
19 22 0.0581016
19 23 0.0577333
19 24 0.0573148
19 25 0.0587979
19 26 0.0580447
19 27 0.0579805
19 28 0.0585306
19 29 0.057992
19 30 0.0585061
19 31 0.0601479
19 32 0.0588447
20 1 0.0607011
20 2 0.0618985
20 3 0.0626831
20 4 0.0599786
20 5 0.0598457
20 6 0.0609686
20 7 0.0604559
20 8 0.0596442
20 9 0.0599238
20 10 0.0592869
20 11 0.0557391
20 12 0.0587584
20 13 0.0569617
20 14 0.0570979
20 15 0.0567617
20 16 0.0563977
20 17 0.0543709
20 18 0.0547704
20 19 0.0556852
20 20 0.0567052
20 21 0.0573793
20 22 0.0580958
20 23 0.0581601
20 24 0.0582676
20 25 0.0583632
20 26 0.0600847
20 27 0.0621281
20 28 0.0610449
20 29 0.06252
20 30 0.059591
20 31 0.0587908
20 32 0.0609581
21 1 0.0605929
21 2 0.0589884
21 3 0.0583435
21 4 0.0582097
21 5 0.0572182
21 6 0.056934
21 7 0.0562084
21 8 0.0564215
21 9 0.0556083
21 10 0.054983
21 11 0.0547278
21 12 0.0552047
21 13 0.0558191
21 14 0.055366
21 15 0.0549444
21 16 0.0550039
21 17 0.0548477
21 18 0.0543536
21 19 0.054411
21 20 0.0539561
21 22 0.0546358
21 23 0.0553737
21 24 0.0553152
21 25 0.0550212
21 26 0.0550541
21 27 0.055949
21 28 0.0555784
21 30 0.0577011
21 31 0.0597265
21 32 0.0565137
22 1 0.0605749
22 2 0.0602088
22 3 0.060061
22 4 0.0599271
22 5 0.0599138
22 6 0.0596706
22 7 0.0593993
22 8 0.0597691
22 9 0.0596215
22 10 0.0589721
22 11 0.0583513
22 12 0.0588247
22 13 0.0587921
22 14 0.0585945
22 15 0.0590439
22 16 0.058509
22 17 0.0588799
22 19 0.0579872
22 20 0.0586828
22 21 0.0583361
22 22 0.0587693
22 23 0.0592735
22 24 0.0593907
22 25 0.0592719
22 26 0.0592916
22 27 0.0597246
22 28 0.0599151
22 29 0.0621154
22 30 0.0604604
22 31 0.0610848
