Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
21	6	21.5056
21	7	21.5177
21	8	21.5046
21	9	21.5127
21	10	21.5065
21	11	21.4883
21	12	21.498
21	13	21.4903
21	14	21.4973
21	15	21.4739
21	16	21.4908
21	17	21.5138
21	18	21.488
21	19	21.4668
21	20	21.4864
21	21	20.9164
21	22	21.5007
21	23	21.4835
21	24	21.4906
21	25	21.5301
21	26	21.506
21	27	21.4816
21	28	21.485
21	29	20.9213
21	30	21.5078
21	31	21.5165
22	0	21.2095
22	1	21.9019
22	2	21.8965
22	3	21.8992
22	4	21.887
22	5	21.8917
22	6	21.894
22	7	21.8883
22	8	21.8908
22	9	21.8896
22	10	21.9008
22	11	21.9114
22	12	21.8819
22	13	21.9083
22	14	21.8954
22	15	21.8699
22	16	21.8457
22	17	21.8912
22	18	21.203
22	19	21.9045
22	20	21.8747
22	21	21.931
22	22	21.8868
22	23	21.8656
22	24	21.8917
22	25	21.9027
22	26	21.8933
22	27	21.8876
22	28	21.9125
22	29	21.8905
22	30	21.925
22	31	21.9076
23	0	20.9223
23	1	21.5608
23	2	21.548
23	3	21.568
23	4	21.5485
23	5	21.5427
23	6	21.5712
23	7	21.568
23	8	21.5685
23	9	21.5767
23	10	21.5703
23	11	21.5784
23	12	21.551
23	13	21.5739
23	14	21.5725
23	15	21.5792
23	16	21.5587
23	17	21.5808
23	18	21.571
23	19	21.5604
23	20	21.5593
23	21	21.5567
23	22	21.5661
23	23	21.5592
23	24	21.5442
23	25	21.5591
23	26	21.5621
23	27	21.5525
23	28	21.5504
23	29	21.5681
23	30	21.5721
23	31	21.5704
24	0	21.2333
24	1	21.9693
24	2	21.9743
24	3	21.9685
24	4	21.9742
24	5	21.9919
24	6	21.991
24	7	21.9663
24	8	21.9739
24	9	21.9954
24	10	21.9964
24	11	21.9997
24	12	21.9891
24	13	22.0058
24	14	21.9983
24	15	21.999
24	16	21.9963
24	17	22.0157
24	18	22.0267
24	19	22.0042
24	20	21.2273
24	21	21.9998
24	22	22.0058
24	23	21.9778
24	24	21.9796
24	25	21.9812
24	26	21.9807
24	27	21.9751
24	28	21.9684
24	29	21.9738
24	30	21.9567
24	31	21.9575
25	0	20.9687
25	1	21.5156
25	2	21.5422
25	3	21.5427
25	4	21.5279
25	5	21.539
25	6	21.5516
25	7	21.5826
25	8	21.6214
25	9	21.6206
25	10	21.6179
25	11	21.6488
25	12	21.6041
25	13	21.6398
25	14	21.6881
25	15	21.6735
25	16	21.6878
25	17	21.6859
25	18	21.6413
25	19	21.6594
25	20	21.6674
25	21	21.6507
25	22	21.6402
25	23	21.6322
25	24	21.64
25	25	21.6075
25	26	21.5577
25	27	21.5165
25	28	21.5038
25	29	21.5182
25	30	21.5197
25	31	21.5201
26	0	21.3047
26	1	21.3038
26	2	21.6874
26	3	21.695
26	4	21.7137
26	5	21.7217
26	6	21.7245
26	7	21.7245
26	8	21.8159
26	9	21.7927
26	10	21.8103
26	11	21.7683
26	12	21.8149
26	13	21.8498
26	14	21.8454
26	15	21.8234
26	16	21.829
26	17	21.8256
26	18	21.8113
26	19	21.8223
26	20	21.8015
26	21	21.7866
26	22	21.8127
26	23	21.8001
26	24	21.7587
26	25	21.7594
26	26	21.7172
26	27	21.6921
26	28	21.7152
26	29	21.7604
26	30	21.7493
26	31	21.7084
27	0	20.8189
27	1	21.2609
27	2	21.2416
27	3	21.2268
27	4	21.2275
27	5	21.2606
27	6	21.2057
27	7	21.2254
27	8	21.208
27	9	21.2444
27	10	21.2219
27	11	21.1998
27	12	21.1692
27	13	21.2104
27	14	21.1922
27	15	21.1978
27	16	21.2174
27	17	21.2019
27	18	21.1888
27	19	21.1761
27	20	21.1906
27	21	21.1774
27	22	21.1752
27	23	21.1886
27	24	21.1817
27	25	21.1888
27	26	21.1746
27	27	21.1582
27	28	21.1623
27	29	21.1608
27	30	21.1692
27	31	21.1628
28	0	20.4303
28	1	20.8361
28	2	20.8371
28	3	20.8394
28	4	20.8161
28	5	20.8074
28	6	20.7855
28	7	20.8003
28	8	20.8159
28	9	20.7944
28	10	20.8117
28	11	20.7972
28	12	20.7809
28	13	20.8015
28	14	20.7882
28	15	20.7759
28	16	20.7744
28	17	20.7933
28	18	20.7637
28	19	20.7855
28	20	20.7674
28	21	20.7695
28	22	20.7593
28	23	20.7535
28	24	20.754
28	25	20.7659
28	26	20.7626
28	27	20.7436
28	28	20.7347
28	29	20.729
28	30	20.7385
28	31	20.7464
