Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
14 33 9.1314882
14 34 9.1198579
14 35 9.1325198
14 36 9.1468973
14 37 9.1488904
14 38 9.1576981
14 39 9.1592494
14 40 9.1669743
14 41 9.1779686
14 42 9.1821182
14 43 9.1912860
14 44 9.2098120
14 45 9.2027911
14 46 9.2055532
14 47 9.2282898
15 0 8.5897625
15 1 8.5809131
15 2 8.5860089
15 3 8.5569208
15 4 8.5616007
15 5 8.5590693
15 6 8.5535484
15 7 8.5369893
15 8 8.5284136
15 9 8.5247508
15 10 8.5244518
15 11 8.4989220
15 12 8.5005457
15 13 8.5002879
15 14 8.4927498
15 15 8.4868048
15 16 8.4812211
15 17 8.4793796
15 18 8.4752676
15 19 8.4568632
15 20 8.4607483
15 21 8.4542539
15 22 8.4522580
15 23 8.4425407
15 24 8.4395767
15 25 8.4413368
15 26 8.4417238
15 27 8.4228150
15 28 8.4235390
15 29 8.4253967
15 30 8.4299945
15 31 8.4241209
15 32 8.4212267
15 33 8.4209574
15 34 8.4245320
15 35 8.4163730
15 36 8.4115228
15 37 8.4158701
15 38 8.4151862
15 39 8.4132617
15 40 8.4078658
15 41 8.4085351
15 42 8.4112934
15 43 8.4146985
15 44 8.4161504
15 45 8.4166324
15 46 8.4194321
15 47 8.4282850
16 0 8.5660500
16 1 8.5578400
16 2 8.5498300
16 3 8.5420100
16 4 8.5343900
16 5 8.5269700
16 6 8.5197400
16 7 8.5127100
16 8 8.5058800
16 9 8.4992500
16 10 8.4928200
16 11 8.4865900
16 12 8.4805600
16 13 8.4747300
16 14 8.4691000
16 15 8.4636700
16 16 8.4584500
16 17 8.4534300
16 18 8.4486100
16 19 8.4439900
16 20 8.4395800
16 21 8.4353700
16 22 8.4313700
16 23 8.4275600
16 24 8.4239700
16 25 8.4205800
16 26 8.4173900
16 27 8.4144100
16 28 8.4116400
16 29 8.4090700
16 30 8.4067100
16 31 8.4045500
16 32 8.4026000
16 33 8.4008600
16 34 8.3993200
16 35 8.3979900
16 36 8.3968600
16 37 8.3959500
16 38 8.3952400
16 39 8.3947300
16 40 8.3944400
16 41 8.3943500
16 42 8.3944700
16 43 8.3948000
16 44 8.3953300
16 45 8.3960700
16 46 8.3970100
16 47 8.3981700
17 0 8.3844700
17 1 8.3760900
17 2 8.3679000
17 3 8.3599100
17 4 8.3521200
17 5 8.3445400
17 6 8.3371500
17 7 8.3299700
17 8 8.3229900
17 9 8.3162200
17 10 8.3096400
17 11 8.3032800
17 12 8.2971100
17 13 8.2911500
17 14 8.2854000
17 15 8.2798500
17 16 8.2745100
17 17 8.2693800
17 18 8.2644500
17 19 8.2597300
17 20 8.2552200
17 21 8.2509200
17 22 8.2468200
17 23 8.2429400
17 24 8.2392600
17 25 8.2358000
17 26 8.2325400
17 27 8.2294900
17 28 8.2266500
17 29 8.2240300
17 30 8.2216100
17 31 8.2194100
17 32 8.2174100
17 33 8.2156300
17 34 8.2140600
17 35 8.2127000
17 36 8.2115500
17 37 8.2106100
17 38 8.2098800
17 39 8.2093700
17 40 8.2090700
17 41 8.2089800
17 42 8.2091000
17 43 8.2094300
17 44 8.2099800
17 45 8.2107300
17 46 8.2117000
17 47 8.2128800
18 0 8.5850953
18 1 8.5764036
18 2 8.5721450
18 3 8.5694014
18 4 8.5651333
18 5 8.5488380
18 6 8.5470355
18 7 8.5550427
18 8 8.5410777
18 9 8.5411063
18 10 8.5332401
18 11 8.5265566
18 12 8.5109476
18 13 8.5140454
18 14 8.5081894
18 15 8.4957142
18 16 8.4993313
18 17 8.4897766
18 18 8.4849960
18 19 8.4820037
18 20 8.4757752
18 21 8.4647903
18 22 8.4634947
18 23 8.4694112
18 24 8.4519129
18 25 8.4530010
18 26 8.4473980
18 27 8.4534216
18 28 8.4357566
18 29 8.4381977
18 30 8.4365059
18 31 8.4341000
18 32 8.4398576
18 33 8.4316533
18 34 8.4299551
18 35 8.4207386
18 36 8.4412126
18 37 8.4283708
18 38 8.4228060
18 39 8.4210390
18 40 8.4359415
18 41 8.4314266
18 42 8.4280177
18 43 8.4325012
18 44 8.4266881
18 45 8.4278749
18 46 8.4293226
18 47 8.4344940
19 0 8.6011067
19 1 8.5987163
