Common TimeShift, ns
0
Plane	 Strip	 TimeShift, ns
17 34 15.1181
17 35 15.1055
17 36 15.0931
17 37 15.0807
17 38 15.0685
17 39 15.0563
17 40 15.0443
17 41 15.0324
17 42 15.0206
17 43 15.0089
17 44 14.9972
17 45 14.9857
17 46 14.9744
17 47 14.9631
18 0 15.751
18 1 15.7352
18 2 15.7195
18 3 15.7039
18 4 15.6883
18 5 15.6729
18 6 15.6576
18 7 15.6423
18 8 15.6272
18 9 15.6122
18 10 15.5972
18 11 15.5824
18 12 15.5676
18 13 15.5529
18 14 15.5384
18 15 15.5239
18 16 15.5096
18 17 15.4953
18 18 15.4811
18 19 15.4671
18 20 15.4531
18 21 15.4393
18 22 15.4255
18 23 15.4118
18 24 15.3983
18 25 15.3848
18 26 15.3715
18 27 15.3582
18 28 15.345
18 29 15.332
18 30 15.319
18 31 15.3062
18 32 15.2934
18 33 15.2808
18 34 15.2683
18 35 15.2558
18 36 15.2435
18 37 15.2313
18 38 15.2191
18 39 15.2071
18 40 15.1952
18 41 15.1834
18 42 15.1717
18 43 15.1601
18 44 15.1486
18 45 15.1372
18 46 15.1259
18 47 15.1148
19 0 15.7107
19 1 15.6948
19 2 15.6791
19 3 15.6634
19 4 15.6478
19 5 15.6324
19 6 15.617
19 7 15.6017
19 8 15.5865
19 9 15.5715
19 10 15.5565
19 11 15.5416
19 12 15.5268
19 13 15.5121
19 14 15.4975
19 15 15.483
19 16 15.4686
19 17 15.4543
19 18 15.4401
19 19 15.426
19 20 15.412
19 21 15.3981
19 22 15.3843
19 23 15.3706
19 24 15.357
19 25 15.3435
19 26 15.3301
19 27 15.3168
19 28 15.3036
19 29 15.2905
19 30 15.2776
19 31 15.2647
19 32 15.2519
19 33 15.2392
19 34 15.2266
19 35 15.2142
19 36 15.2018
19 37 15.1895
19 38 15.1774
19 39 15.1653
19 40 15.1534
19 41 15.1416
19 42 15.1298
19 43 15.1182
19 44 15.1067
19 45 15.0952
19 46 15.0839
19 47 15.0727
