Common TimeShift, ns
-248 ns
Plane	 Strip	 TimeShift, ns
10 43 9.14303
10 44 9.15129
10 45 9.15973
10 46 9.16835
10 47 9.17715
11 0 8.69393
11 1 8.69402
11 2 8.69431
11 3 8.6948
11 4 8.69548
11 5 8.69637
11 6 8.69746
11 7 8.69875
11 8 8.70024
11 9 8.70192
11 10 8.70381
11 11 8.7059
11 12 8.70818
11 13 8.71066
11 14 8.71335
11 15 8.71623
11 16 8.71931
11 17 8.72259
11 18 8.72606
11 19 8.72974
11 20 8.73361
11 21 8.73768
11 22 8.74194
11 23 8.7464
11 24 8.75106
11 25 8.75592
11 26 8.76097
11 27 8.76621
11 28 8.77165
11 29 8.77729
11 30 8.78312
11 31 8.78914
11 32 8.79536
11 33 8.80177
11 34 8.80837
11 35 8.81517
11 36 8.82216
11 37 8.82934
11 38 8.83671
11 39 8.84427
11 40 8.85202
11 41 8.85996
11 42 8.86808
11 43 8.8764
11 44 8.88491
11 45 8.8936
11 46 8.90248
11 47 8.91154
12 0 8.79821
12 1 8.7983
12 2 8.79859
12 3 8.79907
12 4 8.79975
12 5 8.80063
12 6 8.8017
12 7 8.80297
12 8 8.80444
12 9 8.80611
12 10 8.80798
12 11 8.81004
12 12 8.8123
12 13 8.81475
12 14 8.8174
12 15 8.82025
12 16 8.82329
12 17 8.82653
12 18 8.82997
12 19 8.8336
12 20 8.83742
12 21 8.84144
12 22 8.84566
12 23 8.85007
12 24 8.85467
12 25 8.85947
12 26 8.86446
12 27 8.86965
12 28 8.87502
12 29 8.88059
12 30 8.88636
12 31 8.89231
12 32 8.89846
12 33 8.90479
12 34 8.91132
12 35 8.91804
12 36 8.92494
12 37 8.93204
12 38 8.93932
12 39 8.9468
12 40 8.95446
12 41 8.96231
12 42 8.97034
12 43 8.97857
12 44 8.98697
12 45 8.99557
12 46 9.00434
12 47 9.01331
13 0 8.7091
13 1 8.70919
13 2 8.70948
13 3 8.70997
13 4 8.71065
13 5 8.71154
13 6 8.71263
13 7 8.71391
13 8 8.7154
13 9 8.71708
13 10 8.71897
13 11 8.72105
13 12 8.72333
13 13 8.72581
13 14 8.72849
13 15 8.73136
13 16 8.73444
13 17 8.73771
13 18 8.74118
13 19 8.74485
13 20 8.74871
13 21 8.75277
13 22 8.75703
13 23 8.76149
13 24 8.76614
13 25 8.77098
13 26 8.77602
13 27 8.78126
13 28 8.78669
13 29 8.79232
13 30 8.79814
13 31 8.80415
13 32 8.81036
13 33 8.81676
13 34 8.82335
13 35 8.83013
13 36 8.83711
13 37 8.84428
13 38 8.85163
13 39 8.85918
13 40 8.86692
13 41 8.87484
13 42 8.88296
13 43 8.89126
13 44 8.89975
13 45 8.90843
13 46 8.91729
13 47 8.92634
14 0 8.99539
14 1 8.99548
14 2 8.99576
14 3 8.99623
14 4 8.9969
14 5 8.99775
14 6 8.99881
14 7 9.00005
14 8 9.00149
14 9 9.00312
14 10 9.00494
14 11 9.00696
14 12 9.00917
14 13 9.01157
14 14 9.01416
14 15 9.01695
14 16 9.01992
14 17 9.02309
14 18 9.02645
14 19 9.03
14 20 9.03375
14 21 9.03768
14 22 9.0418
14 23 9.04612
14 24 9.05062
14 25 9.05532
14 26 9.0602
14 27 9.06527
14 28 9.07053
14 29 9.07598
14 30 9.08162
14 31 9.08745
14 32 9.09346
14 33 9.09966
14 34 9.10605
14 35 9.11262
14 36 9.11938
14 37 9.12633
14 38 9.13346
14 39 9.14077
14 40 9.14827
14 41 9.15595
14 42 9.16382
14 43 9.17187
14 44 9.1801
14 45 9.18851
14 46 9.19711
14 47 9.20588
15 0 8.56309
15 1 8.55488
15 2 8.54686
15 3 8.53904
15 4 8.53142
15 5 8.52399
15 6 8.51676
15 7 8.50973
15 8 8.5029
15 9 8.49627
15 10 8.48983
15 11 8.4836
15 12 8.47757
15 13 8.47174
15 14 8.46611
15 15 8.46068
15 16 8.45545
15 17 8.45043
15 18 8.44561
15 19 8.44099
15 20 8.43657
15 21 8.43236
15 22 8.42836
15 23 8.42456
15 24 8.42096
15 25 8.41757
15 26 8.41438
15 27 8.4114
15 28 8.40862
15 29 8.40605
15 30 8.40369
15 31 8.40153
15 32 8.39958
15 33 8.39784
15 34 8.3963
15 35 8.39497
15 36 8.39384
15 37 8.39293
15 38 8.39222
15 39 8.39171
15 40 8.39142
15 41 8.39133
15 42 8.39145
15 43 8.39177
15 44 8.39231
15 45 8.39305
15 46 8.39399
15 47 8.39515
16 0 8.56605
16 1 8.55784
16 2 8.54983
16 3 8.54201
16 4 8.53439
16 5 8.52697
16 6 8.51974
16 7 8.51271
16 8 8.50588
16 9 8.49925
16 10 8.49282
16 11 8.48659
16 12 8.48056
16 13 8.47473
16 14 8.4691
16 15 8.46367
16 16 8.45845
16 17 8.45343
16 18 8.44861
16 19 8.44399
16 20 8.43958
16 21 8.43537
16 22 8.43137
16 23 8.42756
16 24 8.42397
16 25 8.42058
16 26 8.41739
16 27 8.41441
16 28 8.41164
16 29 8.40907
16 30 8.40671
16 31 8.40455
16 32 8.4026
16 33 8.40086
16 34 8.39932
16 35 8.39799
16 36 8.39686
16 37 8.39595
16 38 8.39524
16 39 8.39473
16 40 8.39444
16 41 8.39435
16 42 8.39447
16 43 8.3948
16 44 8.39533
16 45 8.39607
16 46 8.39701
16 47 8.39817
17 0 8.38447
17 1 8.37609
17 2 8.3679
17 3 8.35991
17 4 8.35212
17 5 8.34454
17 6 8.33715
17 7 8.32997
