Common TimeShift, ns
-175
Plane	 Strip	 TimeShift, ns
10 35 9.05956
10 36 9.0663
10 37 9.07322
10 38 9.08033
10 39 9.08763
10 40 9.09511
10 41 9.10277
10 42 9.11062
10 43 9.11865
10 44 9.12687
10 45 9.13527
10 46 9.14385
10 47 9.15262
11 0 8.67148
11 1 8.6715
11 2 8.67173
11 3 8.67215
11 4 8.67277
11 5 8.6736
11 6 8.67463
11 7 8.67585
11 8 8.67728
11 9 8.6789
11 10 8.68073
11 11 8.68276
11 12 8.68498
11 13 8.68741
11 14 8.69003
11 15 8.69286
11 16 8.69588
11 17 8.6991
11 18 8.70252
11 19 8.70614
11 20 8.70995
11 21 8.71397
11 22 8.71818
11 23 8.72259
11 24 8.7272
11 25 8.732
11 26 8.737
11 27 8.74219
11 28 8.74759
11 29 8.75317
11 30 8.75895
11 31 8.76493
11 32 8.7711
11 33 8.77746
11 34 8.78402
11 35 8.79077
11 36 8.79771
11 37 8.80485
11 38 8.81217
11 39 8.81969
11 40 8.8274
11 41 8.83529
11 42 8.84338
11 43 8.85166
11 44 8.86012
11 45 8.86877
11 46 8.87761
11 47 8.88664
12 0 8.77566
12 1 8.77569
12 2 8.77591
12 3 8.77633
12 4 8.77694
12 5 8.77776
12 6 8.77877
12 7 8.77998
12 8 8.78139
12 9 8.783
12 10 8.7848
12 11 8.78681
12 12 8.78901
12 13 8.7914
12 14 8.794
12 15 8.79679
12 16 8.79977
12 17 8.80296
12 18 8.80634
12 19 8.80991
12 20 8.81368
12 21 8.81765
12 22 8.82181
12 23 8.82617
12 24 8.83072
12 25 8.83547
12 26 8.84041
12 27 8.84555
12 28 8.85087
12 29 8.8564
12 30 8.86211
12 31 8.86802
12 32 8.87411
12 33 8.8804
12 34 8.88688
12 35 8.89356
12 36 8.90042
12 37 8.90747
12 38 8.91471
12 39 8.92214
12 40 8.92976
12 41 8.93757
12 42 8.94556
12 43 8.95374
12 44 8.96211
12 45 8.97067
12 46 8.97941
12 47 8.98833
13 0 8.6867
13 1 8.68672
13 2 8.68694
13 3 8.68737
13 4 8.68799
13 5 8.68881
13 6 8.68984
13 7 8.69106
13 8 8.69248
13 9 8.69411
13 10 8.69593
13 11 8.69795
13 12 8.70018
13 13 8.7026
13 14 8.70522
13 15 8.70804
13 16 8.71105
13 17 8.71427
13 18 8.71768
13 19 8.7213
13 20 8.72511
13 21 8.72911
13 22 8.73332
13 23 8.73772
13 24 8.74232
13 25 8.74711
13 26 8.7521
13 27 8.75729
13 28 8.76267
13 29 8.76825
13 30 8.77402
13 31 8.77998
13 32 8.78614
13 33 8.7925
13 34 8.79904
13 35 8.80578
13 36 8.81271
13 37 8.81983
13 38 8.82715
13 39 8.83465
13 40 8.84234
13 41 8.85023
13 42 8.8583
13 43 8.86656
13 44 8.87501
13 45 8.88365
13 46 8.89248
13 47 8.90149
14 0 8.97334
14 1 8.97337
14 2 8.97358
14 3 8.97399
14 4 8.9746
14 5 8.97539
14 6 8.97638
14 7 8.97757
14 8 8.97895
14 9 8.98052
14 10 8.98228
14 11 8.98424
14 12 8.98639
14 13 8.98874
14 14 8.99127
14 15 8.994
14 16 8.99692
14 17 9.00004
14 18 9.00334
14 19 9.00684
14 20 9.01053
14 21 9.01441
14 22 9.01848
14 23 9.02275
14 24 9.0272
14 25 9.03184
14 26 9.03668
14 27 9.0417
14 28 9.04691
14 29 9.05231
14 30 9.0579
14 31 9.06368
14 32 9.06965
14 33 9.0758
14 34 9.08214
14 35 9.08867
14 36 9.09539
14 37 9.10229
14 38 9.10938
14 39 9.11665
14 40 9.1241
14 41 9.13174
14 42 9.13957
14 43 9.14758
14 44 9.15577
14 45 9.16414
14 46 9.1727
14 47 9.18143
15 0 8.54431
15 1 8.53601
15 2 8.52791
15 3 8.52001
15 4 8.5123
15 5 8.50479
15 6 8.49747
15 7 8.49036
15 8 8.48344
15 9 8.47673
15 10 8.47021
15 11 8.4639
15 12 8.45778
15 13 8.45187
15 14 8.44616
15 15 8.44065
15 16 8.43534
15 17 8.43024
15 18 8.42534
15 19 8.42064
15 20 8.41615
15 21 8.41186
15 22 8.40777
15 23 8.40389
15 24 8.40022
15 25 8.39675
15 26 8.39349
15 27 8.39043
15 28 8.38758
15 29 8.38493
15 30 8.3825
15 31 8.38027
15 32 8.37824
15 33 8.37642
15 34 8.37481
15 35 8.37341
15 36 8.37221
15 37 8.37123
15 38 8.37045
15 39 8.36987
15 40 8.36951
15 41 8.36935
15 42 8.3694
15 43 8.36966
15 44 8.37013
15 45 8.3708
15 46 8.37168
15 47 8.37277
16 0 8.5469
16 1 8.53861
16 2 8.53051
16 3 8.52261
16 4 8.5149
16 5 8.50739
16 6 8.50008
16 7 8.49297
16 8 8.48606
16 9 8.47934
16 10 8.47283
16 11 8.46652
16 12 8.4604
16 13 8.45449
16 14 8.44878
16 15 8.44328
16 16 8.43797
16 17 8.43287
16 18 8.42797
16 19 8.42327
16 20 8.41878
16 21 8.41449
16 22 8.41041
16 23 8.40653
16 24 8.40286
16 25 8.39939
16 26 8.39613
16 27 8.39307
16 28 8.39022
16 29 8.38758
16 30 8.38514
16 31 8.38291
16 32 8.38089
16 33 8.37907
16 34 8.37746
16 35 8.37606
16 36 8.37486
16 37 8.37388
16 38 8.37309
16 39 8.37252
16 40 8.37216
16 41 8.372
16 42 8.37205
16 43 8.37231
16 44 8.37277
16 45 8.37345
16 46 8.37433
16 47 8.37542
17 0 8.3653
17 1 8.35683
17 2 8.34855
17 3 8.34048
17 4 8.3326
17 5 8.32493
17 6 8.31746
17 7 8.31019
17 8 8.30313
17 9 8.29626
17 10 8.28961
17 11 8.28315
17 12 8.27691
17 13 8.27086
17 14 8.26503
17 15 8.2594
17 16 8.25397
17 17 8.24876
17 18 8.24375
17 19 8.23895
17 20 8.23435
17 21 8.22997
17 22 8.2258
17 23 8.22183
17 24 8.21808
17 25 8.21453
17 26 8.21119
17 27 8.20807
17 28 8.20515
17 29 8.20245
17 30 8.19996
17 31 8.19768
17 32 8.19561
17 33 8.19375
17 34 8.1921
17 35 8.19067
17 36 8.18945
17 37 8.18844
17 38 8.18764
17 39 8.18705
17 40 8.18668
17 41 8.18652
17 42 8.18657
17 43 8.18684
17 44 8.18731
17 45 8.188
17 46 8.1889
17 47 8.19001
18 0 8.55962
18 1 8.55134
18 2 8.54325
18 3 8.53536
18 4 8.52767
18 5 8.52017
18 6 8.51287
18 7 8.50577
18 8 8.49887
18 9 8.49216
18 10 8.48566
18 11 8.47936
18 12 8.47325
18 13 8.46735
18 14 8.46165
18 15 8.45615
18 16 8.45085
18 17 8.44576
18 18 8.44087
18 19 8.43618
18 20 8.43169
18 21 8.42741
18 22 8.42333
18 23 8.41946
18 24 8.41579
18 25 8.41233
18 26 8.40907
18 27 8.40602
18 28 8.40318
18 29 8.40054
18 30 8.3981
18 31 8.39588
18 32 8.39386
18 33 8.39204
18 34 8.39043
18 35 8.38903
18 36 8.38784
18 37 8.38686
18 38 8.38608
18 39 8.3855
18 40 8.38514
18 41 8.38498
18 42 8.38503
18 43 8.38529
18 44 8.38576
18 45 8.38643
18 46 8.38731
18 47 8.38839
19 0 8.56973
19 1 8.56146
19 2 8.55338
19 3 8.5455
19 4 8.53782
19 5 8.53033
19 6 8.52304
19 7 8.51595
19 8 8.50905
19 9 8.50236
19 10 8.49586
19 11 8.48956
19 12 8.48347
19 13 8.47757
19 14 8.47188
19 15 8.46638
19 16 8.46109
19 17 8.45601
19 18 8.45112
19 19 8.44644
19 20 8.44196
19 21 8.43768
19 22 8.43361
19 23 8.42974
19 24 8.42608
19 25 8.42262
19 26 8.41937
19 27 8.41632
19 28 8.41348
19 29 8.41084
19 30 8.40841
19 31 8.40619
19 32 8.40417
19 33 8.40236
19 34 8.40075
19 35 8.39935
19 36 8.39816
19 37 8.39718
19 38 8.3964
19 39 8.39583
19 40 8.39546
19 41 8.39531
19 42 8.39536
19 43 8.39561
19 44 8.39608
19 45 8.39675
19 46 8.39763
19 47 8.39871  
