"Message ID";"Date";"Author";"Type";"Category";"Subject";"N Run";"Shift leader";"Trigger";"DAQ status";"Mag. field";"Beam"
71;Fri  09 Dec 2016 23:00:17 +0300;"shift";"Inform All";"General";;"473";"Spaskov";"Beam trigger: T0+BC1+BC2+Veto";"All detectors in DAQ";"600 A, 37.5 mv";"d 4 GeV/n"
72;Sat  10 Dec 2016 00:57:36 +0300;"shift";"Inform All";"General";;"477";"Spaskov";"Min bias: FD + beam trigger";"All detectors in DAQ";"1500 A, 94.36 mv";"d 4 GeV/n, target C"
73;Sat  10 Dec 2016 01:27:41 +0300;"shift";"Inform All";"General";;"481";"Spaskov";"Min bias: FD + beam trigger";"All detectors in DAQ";"1500 A, 94.36 mv";"d 4 GeV/n, target C"
74;Sat  10 Dec 2016 03:45:15 +0300;"shift";"Inform All";"General";;"482";"Spaskov";"Min bias: FD + beam trigger";"All detectors in DAQ";"1500 A, 94.36 mv";"d 4 GeV/n, target C"
75;Sat  10 Dec 2016 10:09:25 +0300;"Piyadin S.M.";"Inform All";"General";;"run487";"Piyadin S.M.";"Min bias: FD + beam trigger";;"SP-41 = 1500A(94.2mV), SP-57 =0A(IP-600), VKM2=0A(IP-300)";"d 4 GeV/n, target C"
76;Sat  10 Dec 2016 10:25:03 +0300;"Piyadin S.M.";"Inform All";"General";;"489";"Piyadin S.M.";"Min bias: FD + beam trigger";"run489 red all";"SP-41 = 1500A(94.2mV), SP-57 =100A(IP-600), VKM2=0A(IP-300)";"d 4 GeV/n, target C"
77;Sat  10 Dec 2016 10:31:35 +0300;"Piyadin S.M.";"Inform All";"General";;"490";"Piyadin S.M.";"Only BC1";"read all";"SP-41 = 1500A(94.2mV), SP-57 =100A(IP-600), VKM2=0A(IP-300)";"d 4 GeV/n, target C"
78;Sat  10 Dec 2016 10:40:15 +0300;"shift";"Inform All";;;"492";"Piyadin S.M.";"Only BC1";"read all";"SP-41 = 1500A(94.2mV), SP-57 =200A(IP-600), VKM2=0A(IP-300)";"d 4 GeV/n, target C"
79;Sat  10 Dec 2016 10:57:54 +0300;"shift";"Inform All";"General";;"493";"Piyadin S.M.";"Only BC1";"All detectors in DAQ";"SP-41 = 1500A(94.2mV), SP-57 =300A(IP-600), VKM2=0A(IP-300)";"d 4 GeV/n, target C"
80;Sat  10 Dec 2016 11:08:17 +0300;"shift";"Inform All";"General";;"494";"Piyadin S.M.";"Only BC1";"All detectors in DAQ";"SP-41 = 1500A(94.2mV), SP-57 =400A(IP-600), VKM2=0A(IP-300)";"d 4 GeV/n, target C"
81;Sat  10 Dec 2016 11:15:51 +0300;"shift";"Inform All";"General";;"495";"Piyadin S.M.";"Only BC1";"All detectors in DAQ";"SP-41 = 1500A(94.2mV), SP-57 =500A(IP-600), VKM2=0A(IP-300)";"d 4 GeV/n, target C"
